,Word1,Word2,Cosine,Pearson CC,Spearman's rank CC
0,biến,ngập,-0.042331542317191696,"PearsonRResult(statistic=-0.00610701183181602, pvalue=0.9408748731248203)","SignificanceResult(statistic=-0.020824036623849948, pvalue=0.8003182785188336)"
1,nhà_thi_đấu,nhà,0.5867432998549763,"PearsonRResult(statistic=0.08199807821099807, pvalue=0.3184990199872585)","SignificanceResult(statistic=0.10522956575847815, pvalue=0.19999225077185984)"
2,động,tĩnh,1.6436950169421212,"PearsonRResult(statistic=0.2774025533713006, pvalue=0.0005887280657697797)","SignificanceResult(statistic=0.2697417663007245, pvalue=0.0008435070959755315)"
3,khuyết,ưu,1.3433717293236016,"PearsonRResult(statistic=0.1581444070477984, pvalue=0.05325543901012965)","SignificanceResult(statistic=0.15135428241255167, pvalue=0.06447762772747422)"
4,thủ_pháp,biện_pháp,3.278884705588982,"PearsonRResult(statistic=0.39534295479808274, pvalue=5.530050195572766e-07)","SignificanceResult(statistic=0.3935126005600249, pvalue=6.303022496682744e-07)"
5,kết_duyên,thành_hôn,3.110024235199738,"PearsonRResult(statistic=0.46230306864538584, pvalue=2.5919180648478946e-09)","SignificanceResult(statistic=0.44399306635850483, pvalue=1.2628786824643744e-08)"
6,cấp_tiến,bảo_thủ,2.2139779022443857,"PearsonRResult(statistic=0.25698949052193554, pvalue=0.0015002839503072552)","SignificanceResult(statistic=0.2682803680163563, pvalue=0.0009023415315578579)"
7,nước_lớn,nguy_hiểm,1.3925216687715214,"PearsonRResult(statistic=0.18792512169962006, pvalue=0.021284099638925014)","SignificanceResult(statistic=0.21139961776078936, pvalue=0.009407910290704436)"
8,hoa,nhị,1.3129670394538864,"PearsonRResult(statistic=0.21780658136213513, pvalue=0.007417758272303565)","SignificanceResult(statistic=0.23810658251477845, pvalue=0.003344913380353131)"
9,bất_lợi,thuận_lợi,4.071884339941121,"PearsonRResult(statistic=0.5363032757740254, pvalue=1.5148775467297928e-12)","SignificanceResult(statistic=0.427277656784746, pvalue=4.9514453307417543e-08)"
10,phân_ly,sum_họp,0.4244621690351739,"PearsonRResult(statistic=0.08031516310819187, pvalue=0.32856594124593663)","SignificanceResult(statistic=0.08581892528556825, pvalue=0.2963937665938567)"
11,diễu_hành,tuần_hành,6.008943298198726,"PearsonRResult(statistic=0.6436002379443908, pvalue=6.542479657987649e-19)","SignificanceResult(statistic=0.5815031779190186, pvalue=6.059451268470931e-15)"
12,cao_trào,thoái_trào,2.952515752313862,"PearsonRResult(statistic=0.36123776646621275, pvalue=5.5842963710689744e-06)","SignificanceResult(statistic=0.3499551091159607, pvalue=1.1344017533083546e-05)"
13,thịnh,suy,0.3810963710857634,"PearsonRResult(statistic=0.06238945689503152, pvalue=0.44817635679757756)","SignificanceResult(statistic=0.07909862660562693, pvalue=0.335968831178032)"
14,con_voi,ngà,1.7059010443297205,"PearsonRResult(statistic=0.2353893303311313, pvalue=0.0037356761765881103)","SignificanceResult(statistic=0.22738255033557048, pvalue=0.005137056763777482)"
15,cá_chuối,cá_quả,0.8170745052251205,"PearsonRResult(statistic=0.16952302770005842, pvalue=0.03808942008934645)","SignificanceResult(statistic=0.15367616338503934, pvalue=0.06044072047389104)"
16,đổ_bê_tông,biếu_xén,-1.00003308055483,"PearsonRResult(statistic=-0.17281864129281127, pvalue=0.034445259638936035)","SignificanceResult(statistic=-0.137046090937375, pvalue=0.09446046431182761)"
17,con_đẻ,con_ruột,5.263807927524623,"PearsonRResult(statistic=0.6463663365653425, pvalue=4.1454934845254235e-19)","SignificanceResult(statistic=0.6460642695230899, pvalue=4.358286553103611e-19)"
18,uỷ_nhiệm,phân_công,2.2830473306299095,"PearsonRResult(statistic=0.27685923820031544, pvalue=0.0006041429001211053)","SignificanceResult(statistic=0.28711498288812837, pvalue=0.0003676000891588149)"
